28899 2237352
0 `` 28842
1 = 29570
2 2013 452
3 – 3934
4 14 534
5 york 685
6 city 1609
7 f.c 12
8 . 77398
9 season 1692
10 the 130768
11 was 21008
12 < 54638
13 unk 54625
14 > 54635
15 of 57030
16 competitive 37
17 association 297
18 football 399
19 and 50735
20 77th 12
21 in 44982
22 league 747
23 played 755
24 by 12718
25 club 671
26 , 102612
27 a 36201
28 professional 211
29 based 713
30 north 1357
31 yorkshire 35
32 england 689
33 their 4290
34 17th 104
35 @ 45598
36 - 17144
37 place 654
38 finish 87
39 2012 480
40 13 491
41 meant 172
42 it 9273
43 second 1465
44 consecutive 120
45 two 3565
46 ran 184
47 from 9229
48 1 2253
49 july 733
50 to 39521
51 30 630
52 june 810
53 2014 291
54 nigel 16
55 worthington 4
56 starting 201
57 his 9019
58 first 4242
59 full 409
60 as 15058
61 manager 300
62 made 1642
63 eight 429
64 permanent 97
65 summer 285
66 signings 10
67 turn 195
68 year 1668
69 were 7334
70 only 2061
71 above 284
72 relegation 34
73 zone 96
74 on 15140
75 goal 312
76 difference 52
77 before 1557
78 17 409
79 match 444
80 unbeaten 16
81 run 541
82 saw 287
83 team 974
84 seventh 112
85 24 378
86 this 4560
87 qualified 42
88 for 13794
89 play 725
90 offs 34
91 they 3894
92 eliminated 50
93 semi 109
94 final 871
95 fleetwood 8
96 town 547
97 knocked 35
98 out 1760
99 fa 79
100 cup 386
101 trophy 52
102 opening 296
103 round 224
104 matches 154
105 35 170
106 players 427
107 at 9070
108 least 350
109 one 3910
110 appearance 294
111 nationally 22
112 organised 49
113 competition 199
114 there 1801
115 12 662
116 different 506
117 defender 40
118 ben 67
119 davies 30
120 missed 75
121 five 938
122 fifty 53
123 over 2137
124 wes 8
125 fletcher 24
126 finished 305
127 leading 330
128 scorer 39
129 with 13012
130 goals 256
131 which 5546
132 10 962
133 came 554
134 three 1976
135 winner 71
136 award 363
137 voted 66
138 's 14002
139 supporters 66
140 oyebanjo 4
141 background 251
142 pre 193
143 back 910
144 having 524
145 won 731
146 conference 183
147 premier 112
148 2011 519
149 after 3749
150 years 1451
151 gary 59
152 mills 34
153 sacked 34
154 march 699
155 following 1152
156 an 6226
157 11 529
158 without 587
159 victory 302
160 replaced 263
161 former 509
162 northern 470
163 ireland 427
164 despite 499
165 being 1454
166 remaining 229
167 led 596
168 safety 105
169 0 914
170 win 405
171 away 456
172 dagenham 5
173 & 505
174 redbridge 4
175 day 1156
176 table 68
177 previous 407
178 conclusion 50
179 lee 76
180 jon 42
181 chris 159
182 everson 3
183 scott 88
184 kerr 8
185 david 331
186 patrick 66
187 michael 266
188 potts 3
189 jamie 30
190 reed 20
191 jason 47
192 walker 44
193 released 979
194 while 2127
195 blair 18
196 departed 40
197 mcgurk 5
198 danny 79
199 parslow 3
200 tom 110
201 platt 10
202 smith 142
203 signed 253
204 new 2767
205 contracts 29
206 ahead 120
207 start 296
208 goalkeeper 12
209 long 960
210 loan 51
211 blackpool 7
212 preston 45
213 end 1071
214 midfielders 3
215 craig 19
216 clay 61
217 chesterfield 8
218 lewis 102
219 montrose 3
220 gillingham 6
221 winger 8
222 puri 8
223 st 210
224 strikers 9
225 ryan 72
226 bowman 11
227 hereford 23
228 united 1216
229 richard 192
230 cresswell 47
231 sheffield 50
232 burnley 18
233 jarvis 13
234 torquay 9
235 mike 115
236 atkinson 10
237 striker 29
238 dickinson 3
239 entered 204
240 squad 82
241 youth 100
242 agreeing 16
243 retained 65
244 home 784
245 kits 7
246 kit 44
247 comprised 39
248 red 445
249 shirts 21
250 white 687
251 sleeves 12
252 light 513
253 blue 288
254 shorts 23
255 socks 12
256 included 702
257 health 191
258 continued 550
259 shirt 37
260 sponsors 13
261 successive 41
262 review 288
263 august 865
264 began 1102
265 off 835
266 finalists 9
267 northampton 9
268 scoring 158
269 winning 239
270 90th 13
271 minute 192
272 however 1397
273 defeat 190
274 against 1272
275 championship 329
276 side 568
277 going 250
278 down 831
279 4 1279
280 endured 12
281 game 2077
282 beaten 37
283 2 1982
284 each 984
285 half 527
286 then 1329
287 held 540
288 hartlepool 4
289 draw 151
290 3 1601
291 bristol 35
292 rovers 23
293 scored 357
294 twice 140
295 john 909
296 joe 77
297 o 278
298 'toole 3
299 67th 5
300 shortly 215
301 transfer 105
302 deadline 21
303 ; 4224
304 george 288
305 taft 4
306 month 285
307 leicester 35
308 middlesbrough 9
309 midfielder 16
310 brobbel 6
311 joined 255
312 who 3029
313 had 5707
314 been 3263
315 told 242
316 he 8706
317 no 1702
318 future 231
319 signing 78
320 fc 16
321 halifax 8
322 gave 488
323 lead 454
324 exeter 30
325 alan 82
326 see 359
327 september 869
328 suffered 173
329 afc 7
330 wimbledon 71
331 ipswich 10
332 josh 28
333 carson 14
334 spell 34
335 contract 204
336 until 1040
337 elliott 17
338 opened 308
339 debut 223
340 mansfield 19
341 although 1194
342 went 397
343 score 219
344 four 1236
345 defeats 20
346 ended 220
347 wycombe 4
348 wanderers 45
349 levelled 9
350 through 1364
351 dean 67
352 morgan 42
353 sent 377
354 fell 165
355 behind 350
356 pecking 6
357 order 515
358 central 478
359 defensive 140
360 berth 4
361 achieved 144
362 since 995
363 beating 42
364 portsmouth 17
365 ( 11992
366 ) 12004
367 october 757
368 luke 17
369 'neill 9
370 28 379
371 emergency 59
372 rotherham 9
373 streak 55
374 newport 30
375 county 523
376 drew 97
377 taken 333
378 fought 106
379 armand 4
380 jay 51
381 hosted 68
382 visitors 63
383 gareth 12
384 evans 49
385 matt 57
386 scunthorpe 3
387 all 2557
388 coming 149
389 november 661
390 cheltenham 11
391 earn 38
392 replay 20
393 taking 264
394 eliot 21
395 richards 17
396 equalised 5
397 yard 290
398 volley 10
399 put 323
400 86th 3
401 equaliser 10
402 header 6
403 cross 279
404 open 450
405 plymouth 14
406 argyle 5
407 conceded 12
408 500 274
409 minutes 215
410 action 328
411 later 1928
412 losing 131
413 up 1918
414 50 380
415 pulled 46
416 penalty 86
417 range 394
418 strike 84
419 keith 45
420 lowe 16
421 nick 55
422 pope 100
423 charlton 11
424 athletic 84
425 january 693
426 both 1448
427 weeks 312
428 southend 5
429 early 1299
430 into 2443
431 low 404
432 during 2690
433 prosser 4
434 stoppage 6
435 time 2607
436 preferred 64
437 returned 441
438 own 644
439 accord 6
440 agreement 116
441 would 2332
442 stay 177
443 morecambe 4
444 recalled 69
445 wolverhampton 14
446 aaron 13
447 mccarey 3
448 kept 126
449 clean 87
450 sheet 23
451 rochdale 14
452 december 647
453 retired 110
454 playing 342
455 result 423
456 eye 145
457 complaint 20
458 knee 32
459 injury 111
460 burton 15
461 albion 25
462 shane 12
463 giving 177
464 64th 7
465 billy 35
466 failing 42
467 force 527
468 himself 417
469 scarborough 3
470 whom 278
471 placed 254
472 oxford 104
473 closest 55
474 that 14351
475 across 443
476 face 251
477 followed 345
478 another 894
479 accrington 3
480 stanley 66
481 given 479
482 35th 11
483 mcdonald 12
484 peterborough 13
485 last 665
486 bury 12
487 draws 44
488 19th 284
489 coulson 8
490 73rd 7
491 begin 133
492 22nd 42
493 position 463
494 due 819
495 take 526
496 part 1319
497 wins 91
498 adam 69
499 parting 3
500 company 900
501 ' 2900
502 extended 166
503 parent 30
504 clubs 92
505 captain 233
506 russell 36
507 penn 37
508 undisclosed 8
509 fee 51
510 subsequently 213
511 permanently 35
512 allowed 281
513 leave 191
514 free 273
515 ashley 14
516 chambers 26
517 cambridge 70
518 mccombe 3
519 release 569
520 jamal 98
521 left 686
522 mutual 26
523 consent 38
524 remainder 84
525 will 803
526 hayhurst 4
527 republic 182
528 under 1198
529 21 382
530 international 525
531 pursue 52
532 february 492
533 fellow 93
534 mid 296
535 fourth 353
536 drawing 80
537 worn 38
538 appointed 243
539 rest 283
540 earlier 304
541 impressed 55
542 six 771
543 appearances 166
544 again 595
545 41st 5
546 32nd 12
547 opportunity 91
548 extend 39
549 when 2655
550 saved 64
551 marriott 3
552 moved 590
553 outside 309
554 courtesy 8
555 many 1447
556 edge 162
557 area 1034
558 struggling 22
559 fifth 245
560 fixtures 20
561 calvin 4
562 andrew 121
563 substitute 52
564 bottom 101
565 11th 82
566 18 516
567 shot 253
568 rejoined 16
569 drop 83
570 eighth 87
571 recording 327
572 including 1273
573 sheets 13
574 named 691
575 april 711
576 number 1278
577 saves 61
578 leaders 96
579 point 518
580 enough 235
581 lift 19
582 prevented 52
583 equalling 5
584 record 718
585 decided 322
586 resulted 154
587 moving 230
588 opponents 80
589 consolidated 20
590 corner 51
591 secured 76
592 25 523
593 kick 63
594 earned 178
595 nomination 77
596 player 630
597 period 575
598 may 1877
599 concluded 154
600 divisional 19
601 runners 52
602 gone 75
603 thus 248
604 lost 507
605 leg 150
606 crescent 27
607 50th 18
608 close 320
609 antoni 5
610 blocked 40
611 line 809
612 aggregate 30
613 ending 186
614 prospect 18
615 promotion 125
616 seasons 149
617 awards 340
618 night 371
619 racecourse 6
620 summary 36
621 aftermath 62
622 mostly 207
623 occupied 100
624 dropped 112
625 23rd 20
626 broke 118
627 top 633
628 sixth 191
629 third 716
630 best 891
631 41 85
632 bettered 4
633 39 135
634 40 291
635 highest 259
636 appearing 82
637 47 129
638 52 75
639 competitions 92
640 total 476
641 reach 169
642 double 189
643 figures 169
644 nine 277
645 allan 10
646 sign 110
647 crawley 7
648 respectively 158
649 tranmere 6
650 defenders 51
651 marvin 13
652 mccoy 11
653 dave 53
654 winfield 3
655 shrewsbury 6
656 anthony 93
657 jake 12
658 hyde 16
659 details 97
660 positions 180
661 are 4714
662 sourced 11
663 information 200
664 is 11691
665 referenced 20
666 individually 23
667 around 966
668 names 241
669 denote 8
670 expired 15
671 source 187
672 : 3806
673 numbers 208
674 parentheses 3
675 struck 144
676 marked 167
677 italics 3
678 * 23
679 whole 204
680 listed 202
681 have 3470
682 but 4233
683 unused 16
684 key 208
685 forward 234
686 '' 29006
687 big 213
688 boy 157
689 song 1828
690 i 2088
691 'm 113
692 now 791
693 single 731
694 ever 316
695 recorded 581
696 jackson 154
697 5 1361
698 steeltown 11
699 records 320
700 1968 102
701 group 764
702 instruments 59
703 compositions 42
704 neither 103
705 critical 280
706 nor 99
707 commercial 255
708 success 342
709 family 758
710 delighted 7
711 outcome 26
712 nonetheless 32
713 motown 13
714 recordings 70
715 thought 422
716 be 4859
717 rediscovered 9
718 more 2402
719 than 1765
720 remastered 17
721 1995 216
722 promotional 40
723 deal 198
724 career 589
725 performing 96
726 talent 53
727 contests 19
728 often 584
729 performance 420
730 junior 67
731 high 903
732 indiana 18
733 brought 306
734 attention 147
735 gordon 104
736 — 1240
737 singer 162
738 producer 181
739 founder 56
740 owner 72
741 also 3842
742 located 382
743 president 424
744 1967 92
745 limited 232
746 him 1844
747 producing 82
748 releasing 33
749 band 475
750 backing 42
751 weekends 9
752 sang 58
753 vocals 170
754 majority 202
755 tracks 179
756 beginning 258
757 took 744
758 few 526
759 hours 278
760 written 552
761 eddie 23
762 chicago 189
763 paid 127
764 cents 13
765 sold 315
766 split 75
767 equally 25
768 amongst 59
769 brothers 94
770 drummer 29
771 backed 44
772 b 314
773 you 877
774 've 101
775 changed 197
776 johnny 37
777 drums 62
778 relation 53
779 go 303
780 perform 113
781 other 2729
782 songs 639
783 locally 38
784 throughout 521
785 south 1373
786 california 194
787 1969 102
788 reception 275
789 gathered 35
790 radio 271
791 hear 70
792 broadcast 177
793 9 777
794 old 668
795 said 1038
796 experience 214
797 [ 738
798 ] 738
799 laughed 3
800 we 641
801 felt 411
802 arrived 230
803 did 958
804 not 4150
805 appear 223
806 any 786
807 billboard 220
808 music 1134
809 charts 128
810 excess 32
811 000 1447
812 copies 159
813 leaving 201
814 don 258
815 't 592
816 fall 159
817 love 585
818 singles 194
819 supported 219
820 eleven 69
821 track 507
822 studio 265
823 album 1383
824 never 457
825 26 349
826 yet 205
827 could 1033
828 fully 143
829 executed 52
830 tried 131
831 get 302
832 ultimately 145
833 succeeded 87
834 financial 136
835 settlement 119
836 rediscovery 3
837 master 144
838 tapes 29
839 1994 155
840 friend 193
841 brown 348
842 found 1039
843 parents 155
844 kitchen 26
845 reissued 7
846 label 87
847 week 434
848 issued 177
849 selling 116
850 mail 48
851 along 957
852 instrumental 26
853 version 513
854 edition 161
855 package 9
856 consisting 84
857 compact 23
858 disc 66
859 cassette 8
860 tape 44
861 purchased 98
862 cost 153
863 approximately 244
864 $ 753
865 reissue 4
866 promoted 117
867 video 725
868 2009 616
869 items 100
870 era 271
871 auction 13
872 sizable 6
873 mint 34
874 condition 95
875 45 198
876 rpm 10
877 format 56
878 100 551
879 stated 446
880 use 888
881 money 218
882 ... 704
883 got 216
884 these 1445
885 guys 18
886 ground 377
887 didn 98
888 truly 35
889 real 271
890 remix 97
891 lady 192
892 gaga 20
893 american 1018
894 artist 188
895 japan 212
896 2010 611
